ts,serialNo,home,batteryVoltageMilliV,insideTemperatureCentiC,humidityMilliPerc
2019-01-20,VA4202760704,165132,2672.077,1947.7593,414.24567
2019-01-21,VA4202760704,165132,2670.8462,1888.9785,447.56616
2019-01-22,VA4202760704,165132,2670.6877,1860.3228,492.33334
2019-01-23,VA4202760704,165132,2669.8398,1874.816,427.7181
2019-01-24,VA4202760704,165132,2669.1174,1853.1075,444.3275
2019-01-25,VA4202760704,165132,2668.022,1842.836,419.2869
2019-01-26,VA4202760704,165132,2666.8894,1838.685,452.74863
2019-01-27,VA4202760704,165132,2665.4336,1855.1033,491.9587
2019-01-28,VA4202760704,165132,2665.1940000000004,1881.8895,447.36417
2019-01-29,VA4202760704,165132,2664.9048,1889.0029,439.65475
2019-01-30,VA4202760704,165132,2664.0308,1905.2402,410.4581
2019-01-31,VA4202760704,165132,2654.8806,1888.7612,364.5129
2019-02-01,VA4202760704,165132,2648.1128,1913.4277,444.75433
2019-02-02,VA4202760704,165132,2646.3374,1872.7468,463.40936
2019-02-03,VA4202760704,165132,2640.4504,1920.0793,468.40225
2019-02-04,VA4202760704,165132,2638.791,1910.0089,449.15225
2019-02-05,VA4202760704,165132,2636.6724,1882.698,483.0399
2019-02-06,VA4202760704,165132,2631.8066,1889.2561,455.53134000000006
2019-02-07,VA4202760704,165132,2634.6477,1853.9563,460.3779
2019-02-08,VA4202760704,165132,2638.2861,1852.9034,483.6483
2019-02-09,VA4202760704,165132,2638.6123,1798.9438,446.65088
2019-02-10,VA4202760704,165132,2637.832000000001,1839.56,438.56
2019-02-11,VA4202760704,165132,2637.5222,1929.2611,489.74203
2019-02-12,VA4202760704,165132,2637.5608,1885.7507,494.64175
2019-02-13,VA4202760704,165132,2636.8083,1938.2428,540.0799
2019-02-14,VA4202760704,165132,2635.9709999999995,1931.5581,550.7935
2019-02-15,VA4202760704,165132,2634.417,1877.2399,511.7417
2019-02-16,VA4202760704,165132,2630.2795,1926.8346,458.05905
2019-02-17,VA4202760704,165132,2630.0466,1905.1046,511.0969
2019-02-18,VA4202760704,165132,2629.5112,1974.127,498.75555
2019-02-19,VA4202760704,165132,2629.7388,1999.5017,506.99313
2019-02-20,VA4202760704,165132,2627.0085,1978.6051,516.4659
2019-02-21,VA4202760704,165132,2626.0854,1965.8506,485.26334
2019-02-22,VA4202760704,165132,2624.1328,1949.6764,614.3527
2019-02-23,VA4202760704,165132,2621.7334,1824.6038,502.10742
2019-02-24,VA4202760704,165132,2620.9116,1821.1089,454.90137
2019-02-25,VA4202760704,165132,2619.736,1815.5472,450.37784000000005
2019-02-26,VA4202760704,165132,2617.661,1812.1661,460.21106
2019-02-27,VA4202760704,165132,2615.165,1836.2921,459.20963
2019-02-28,VA4202760704,165132,2612.7773,1832.3538,445.28384000000005
2019-03-01,VA4202760704,165132,2612.7563,1840.8613,453.59244
2019-03-02,VA4202760704,165132,2612.6694,1835.2839,464.1271
2019-03-03,VA4202760704,165132,2611.2627,1830.8118,451.4
2019-03-04,VA4202760704,165132,2607.763,1849.5652,425.80237
2019-03-05,VA4202760704,165132,2604.4124,1838.7043,419.33575
2019-03-06,VA4202760704,165132,2603.9788,1848.682,438.3569
2019-03-07,VA4202760704,165132,2603.3525,1840.2014,436.68704
2019-03-08,VA4202760704,165132,2602.0576,1848.5399,423.1278
2019-03-09,VA4202760704,165132,2602.0164,1882.2767,414.0356
2019-03-10,VA4202760704,165132,2601.949,2027.8019,500.3738
2019-03-11,VA4202760704,165132,2602.0,2027.4109,476.12363
2019-03-12,VA4202760704,165132,2602.0073,1961.2268,494.66916
2019-03-13,VA4202760704,165132,2601.9404,1993.6788,458.67218
2019-03-14,VA4202760704,165132,2602.0,1954.0857,476.9
2019-03-15,VA4202760704,165132,2601.8105,1898.5474,512.58246
2019-03-16,VA4202760704,165132,2602.0,1798.5583,469.71167
2019-03-17,VA4202760704,165132,2593.6826,1843.016,460.79486
2019-03-18,VA4202760704,165132,2592.284,1991.3102,488.17163
2019-03-19,VA4202760704,165132,2588.495,1970.7264,464.39087
2019-03-20,VA4202760704,165132,2588.339,1966.9608,503.80435
2019-03-21,VA4202760704,165132,2586.014,2009.3125,448.2743
2019-03-22,VA4202760704,165132,2584.6611,1987.1298,548.8536
2019-03-23,VA4202760704,165132,2584.7622,1838.4098,502.4836
2019-03-24,VA4202760704,165132,2585.9905,1953.5782,526.35547
2019-03-25,VA4202760704,165132,2585.9224,2027.8605,542.7597
2019-03-26,VA4202760704,165132,2569.8733,1981.5249,524.13574
2019-03-27,VA4202760704,165132,2572.1086,1984.2997,519.1723
2019-03-28,VA4202760704,165132,2572.709,2050.7273,539.3382
2019-03-29,VA4202760704,165132,2570.9365,2026.6754,532.75745
2019-03-30,VA4202760704,165132,2569.8162,2005.4215,492.43048
2019-03-31,VA4202760704,165132,2569.3086,2043.107,448.16873
2019-04-01,VA4202760704,165132,2568.9536,2034.0718,505.47256
2019-04-02,VA4202760704,165132,2568.3582,2047.3275,508.82095
2019-04-03,VA4202760704,165132,2564.5984,2038.4595,511.96912
2019-04-04,VA4202760704,165132,2562.1743,2047.0042,516.7801
2019-04-05,VA4202760704,165132,2560.8079,1995.2034,520.2542
2019-04-06,VA4202760704,165132,2559.651,1820.8773,520.49054
2019-04-07,VA4202760704,165132,2559.0,1976.441,498.8513
2019-04-08,VA4202760704,165132,2558.1848,2024.5261,544.92773
2019-04-09,VA4202760704,165132,2557.088,2044.1841,521.5314
2019-04-10,VA4202760704,165132,2553.5413,2027.9128,556.65594
2019-04-11,VA4202760704,165132,2551.4956,2037.453,506.46155
